account_id,limit_type,limit_amount,effective_date
ACC001,daily,1500,2026-01-04
ACC001,monthly,5000,2026-01-13
ACC002,daily,500,2026-01-12
ACC002,monthly,10000,2026-01-20
ACC003,daily,1500,2026-01-26
ACC003,monthly,5000,2026-01-24
ACC004,daily,2019,2026-01-28
ACC004,monthly,5000,2026-01-30
ACC005,daily,2000,2026-01-03
ACC005,monthly,15000,2026-01-10
ACC006,daily,1500,2026-01-19
ACC006,monthly,5000,2026-01-23
ACC007,daily,500,2026-01-02
ACC007,monthly,15000,2026-01-08
ACC008,daily,1500,2026-01-03
ACC008,monthly,5000,2026-01-28
ACC009,daily,500,2026-01-13
ACC009,monthly,10000,2026-01-15
ACC010,daily,1500,2026-01-06
ACC010,monthly,10000,2026-01-12
ACC011,daily,1000,2026-01-22
ACC011,monthly,10000,2026-01-23
ACC012,daily,500,2026-01-20
ACC012,monthly,15000,2026-01-06
ACC013,daily,1000,2026-01-06
ACC013,monthly,10000,2026-01-13
ACC014,daily,1500,2026-01-30
ACC014,monthly,15000,2026-01-23
ACC015,daily,1000,2026-01-22
ACC015,monthly,10000,2026-01-27
ACC016,daily,500,2026-01-08
ACC016,monthly,5000,2026-01-26
ACC017,daily,1500,2026-01-13
ACC017,monthly,10000,2026-01-03
ACC018,daily,1000,2026-01-30
ACC018,monthly,15000,2026-01-29
ACC019,daily,1500,2026-01-07
ACC019,monthly,15000,2026-01-16
ACC020,daily,2000,2026-01-29
ACC020,monthly,15000,2026-01-15
ACC001,daily,300,2025-11-02
ACC002,daily,300,2025-11-02
ACC003,daily,300,2025-11-02
ACC004,daily,300,2025-11-02
ACC005,daily,300,2025-11-02
