transaction_id,account_id,merchant_id,amount,currency,status,transaction_date
TXN0001,ACC005,MER005,129.97,MXN,approved,2026-07-28
TXN0002,ACC014,MER010,362.46,EUR,approved,2026-07-09
TXN0003,ACC016,MER002,681.43,USD,approved,2026-04-10
TXN0004,ACC014,MER010,61.86,CAD,declined,2026-07-14
TXN0005,ACC009,MER009,775.4,USD,approved,2026-07-16
TXN0006,ACC009,MER006,104.84,CAD,approved,2026-06-25
TXN0007,ACC001,MER005,874.84,EUR,approved,2026-05-16
TXN0008,ACC017,MER010,183.03,GBP,approved,2026-07-17
TXN0009,ACC017,MER001,541.06,CAD,approved,2026-03-29
TXN0010,ACC012,MER005,219.31,EUR,approved,2026-03-22
TXN0011,ACC016,MER002,880.3,MXN,approved,2026-04-02
TXN0012,ACC016,MER009,152.79,MXN,declined,2026-04-24
TXN0013,ACC018,MER004,643.09,CAD,approved,2026-06-21
TXN0014,ACC017,MER008,113.3,EUR,approved,2026-05-26
TXN0015,ACC001,MER010,500.76,MXN,approved,2026-03-02
TXN0016,ACC003,MER001,209.9,USD,approved,2026-03-19
TXN0017,ACC017,MER004,254.24,CAD,approved,2026-07-17
TXN0018,ACC005,MER010,520.71,EUR,declined,2026-06-13
TXN0019,ACC007,MER002,91.75,CAD,approved,2026-06-17
TXN0020,ACC014,MER008,778.13,USD,approved,2026-03-16
TXN0021,ACC013,MER006,721.53,USD,approved,2026-04-19
TXN0022,ACC007,MER009,406.51,CAD,approved,2026-05-11
TXN0023,ACC015,MER004,787.66,USD,declined,2026-07-19
TXN0024,ACC004,MER001,588.67,MXN,approved,2026-03-24
TXN0025,ACC008,MER003,368.74,CAD,approved,2026-06-11
TXN0026,ACC002,MER003,344.18,CAD,approved,2026-06-25
TXN0027,ACC010,MER007,628.45,MXN,declined,2026-04-09
TXN0028,ACC007,MER005,199.84,USD,approved,2026-05-20
TXN0029,ACC002,MER001,527.84,MXN,approved,2026-03-15
TXN0030,ACC017,MER002,766.95,USD,approved,2026-04-30
TXN0031,ACC013,MER002,847.73,MXN,approved,2026-07-27
TXN0032,ACC020,MER001,559.35,CAD,approved,2026-05-06
TXN0033,ACC007,MER006,218.62,CAD,approved,2026-05-16
TXN0034,ACC015,MER006,836.47,USD,approved,2026-06-26
TXN0035,ACC020,MER010,896.51,USD,approved,2026-07-08
